ID,Champion,Role,Kills,Deaths,Assists,Gold,CS,Duration,Date,Result
1,Diana,Jungle,4,11,9,"11,273",164,33:30,8/12/2022,Defeat
2,Ashe,ADC,10,2,15,"11,615",121,24:59,8/10/2022,Victory
3,Rammus,Jungle,9,6,19,"12,020",116,31:32,8/12/2022,Victory
4,Sivir,ADC,7,7,5,"9,899",190,28:52,8/13/2022,Defeat
5,Jhin,ADC,8,0,7,"13,620",206,28:58,8/13/2022,Victory
6,Jinx,ADC,13,0,4,"13,971",150,22:42,8/4/2022,Victory
7,Jhin,ADC,11,0,6,"10,401",138,23:57,6/28/2022,Victory
8,Viego,Jungle,13,7,7,"13,438",144,29:14,8/13/2022,Victory
9,Nocturne,Jungle,8,17,14,"14,316",168,42:03,8/14/2022,Defeat
10,Lucian,ADC,5,5,12,"9,537",130,24:01,8/14/2022,Victory
