ID,Champion,Role,Kills,Deaths,Assists,Gold,CS,Duration,Date,Result
1,Jhin,ADC,8,8,12,"10,913",133,29:10,2022-01-07,Defeat
2,Master Yi,Jungle,15,6,5,"17,729",236,34:10,2022-01-15,Victory
3,Jinx,ADC,9,7,9,"15,068",224,35:19,2022-01-17,Victory
4,Ornn,Top,2,6,8,"8,041",117,26:43,2022-02-11,Victory
5,Diana,Jungle,5,7,0,"8,735",123,24:08,2022-02-12,Defeat
6,Jinx,ADC,1,8,5,"9,671",184,33:54,2022-02-14,Defeat
7,Jinx,ADC,10,9,10,"15,253",211,38:29,2022-02-24,Victory
8,Hecarim,Jungle,5,7,4,"8,762",102,26:08,2022-03-07,Defeat
9,Ashe,ADC,3,6,7,"8,325",131,28:20,2022-03-07,Defeat
10,Master Yi,Jungle,10,11,4,"12,705",129,30:53,2022-03-08,Defeat
11,Volibear,Jungle,8,9,7,"11,697",112,28:58,2022-03-08,Defeat
12,Amumu,Jungle,1,5,14,"7,730",108,22:45,2022-03-08,Victory
13,Amumu,Jungle,7,8,14,"13,858",117,36:00,2022-03-09,Victory
14,Ezreal,ADC,1,8,8,"9,019",109,29:25,2022-03-09,Defeat
15,Amumu,Jungle,6,9,15,"11,644",121,34:01,2022-03-13,Defeat
16,Viego,Jungle,2,10,4,"9,375",154,30:32,2022-03-13,Defeat
17,Ziggs,ADC,11,9,10,"16,840",188,40:11,2022-04-04,Defeat
18,Tristana,ADC,8,8,16,"13,090",142,32:50,2022-04-05,Defeat
19,Twitch,ADC,4,7,5,"8,493",111,26:37,2022-04-06,Victory
20,Jinx,ADC,2,7,4,"7,234",134,22:12,2022-04-07,Defeat
21,Volibear,Jungle,4,6,14,"10,264",144,28:32,2022-04-12,Victory
22,Nocturne,Jungle,6,7,11,"13,274",156,34:33,2022-04-22,Victory
23,Ziggs,ADC,6,7,15,"12,408",177,33:45,2022-05-03,Defeat
24,Volibear,Jungle,10,6,14,"13,754",171,33:31,2022-05-05,Victory
25,Nocturne,Jungle,1,3,11,"7,537",110,22:06,2022-05-08,Victory
26,Nocturne,Jungle,6,13,15,"15,662",226,41:00,2022-05-10,Victory
27,Ziggs,ADC,7,5,8,"10,940",147,28:07,2022-05-11,Defeat
28,Ziggs,ADC,6,6,8,"9,340",141,28:02,2022-05-11,Defeat
29,Nocturne,Jungle,4,7,4,"9,077",127,28:46,2022-05-11,Defeat
30,Lucian,ADC,29,14,17,"23,584",196,43:58,2022-05-16,Defeat
31,Ziggs,ADC,3,6,8,"11,021",231,32:41,2022-05-16,Defeat
32,Lucian,ADC,8,14,8,"12,568",152,35:34,2022-05-16,Defeat
33,Lucian,ADC,5,11,12,"12,712",196,33:19,2022-05-17,Defeat
34,Tristana,ADC,5,7,8,"7,417",93,20:51,2022-06-04,Victory
35,Tristana,ADC,7,6,5,"15,785",236,31:58,2022-06-04,Defeat
36,Tristana,ADC,8,4,9,"11,224",133,26:40,2022-06-05,Victory
37,Tristana,ADC,5,6,2,"8,776",116,24:42,2022-06-06,Defeat
38,Tristana,ADC,7,7,10,"13,476",165,35:39,2022-06-06,Defeat
39,Jhin,ADC,8,3,15,"12,319",159,29:01,2022-06-06,Victory
40,Jhin,ADC,26,7,19,"23,626",235,44:46,2022-06-06,Victory
41,Jinx,ADC,7,10,14,"12,770",174,29:53,2022-06-06,Victory
42,Jhin,ADC,4,5,8,"9,945",139,27:48,2022-06-07,Victory
43,Lucian,ADC,17,8,9,"17,736",201,37:24,2022-06-07,Victory
44,Jinx,ADC,6,3,7,"10,037",140,22:59,2022-06-07,Victory
45,Kayn,Jungle,7,6,3,"9,304",119,25:44,2022-06-08,Defeat
46,Jhin,ADC,3,6,3,"6,641",101,21:00,2022-06-08,Defeat
47,Jhin,ADC,2,6,15,"9,778",163,28:26,2022-06-08,Defeat
48,Lucian,ADC,16,8,11,"18,430",198,37:18,2022-06-08,Victory
49,Ezreal,ADC,1,9,14,"19,116",302,56:50,2022-06-09,Defeat
50,Jinx,ADC,5,9,10,"9,702",123,26:57,2022-06-11,Defeat
51,Volibear,Jungle,5,10,9,"10,306",93,31:11,2022-06-11,Defeat
52,Ashe,ADC,3,10,4,"7,136",99,23:52,2022-06-13,Defeat
53,Lucian,ADC,5,13,6,"12,801",174,40:20,2022-06-13,Defeat
54,Xayah,ADC,10,9,2,"11,372",121,31:04,2022-06-15,Victory
55,Miss Fortune,ADC,3,8,11,"8,253",131,23:32,2022-06-16,Defeat
56,Jhin,ADC,2,2,7,"9,016",151,25:35,2022-06-16,Victory
57,Brand,ADC,4,11,9,"10,062",146,32:21,2022-06-16,Defeat
58,Jhin,ADC,21,7,16,"22,129",234,46:24,2022-06-16,Victory
59,Jhin,ADC,2,5,3,"5,246",79,15:34,2022-06-18,Defeat
60,Jhin,ADC,6,3,7,"9,081",126,20:56,2022-06-18,Victory
61,Jhin,ADC,12,5,8,"12,703",126,28:48,2022-06-18,Victory
62,Jinx,ADC,6,4,7,"10,117",161,26:34,2022-06-18,Victory
63,Jhin,ADC,9,8,15,"14,023",176,35:09,2022-06-18,Victory
64,Jhin,ADC,11,5,19,"13,898",164,29:47,2022-06-20,Victory
65,Jhin,ADC,2,10,7,"7,752",103,26:11,2022-06-20,Defeat
66,Xayah,ADC,4,14,16,"12,328",155,42:43,2022-06-20,Defeat
67,Jhin,ADC,5,7,7,"8,092",104,23:57,2022-06-21,Defeat
68,Jhin,ADC,4,7,7,"8,510",103,25:28,2022-06-21,Defeat
69,Jinx,ADC,1,7,1,"6,310",122,23:10,2022-06-21,Defeat
70,Jhin,ADC,7,3,9,"7,558",95,16:59,2022-06-23,Victory
71,Jhin,ADC,9,13,6,"16,790",211,44:27,2022-06-23,Victory
72,Jhin,ADC,12,4,7,"14,648",219,33:37,2022-06-24,Defeat
73,Jhin,ADC,5,5,13,"12,596",171,34:35,2022-06-24,Victory
74,Jhin,ADC,7,11,9,"11,115",130,29:02,2022-06-24,Defeat
75,Jhin,ADC,17,11,18,"18,062",168,43:33,2022-06-25,Victory
